Nome,Data de Nascimento,CPF,RG SSP,CNS,Título do Eleitor,CNH,Categoria CNH,Nº Passaporte,Renavam,PIS/PASEP,Tipo Sanguíneo,Nome Mãe,Nome Pai,Número do Cartão,Data de Validade,CVV,Cep,Endereço,Bairro,Cidade,Estado,E-mail,Senha,Celular/WhatsApp,Telefone
Almir Lima Sarmento,31/12/1997,648.259.874-94,23.872.616-2,977 1122 0098 0005,8359 1808 0841,58103354672,ACC,LO587941,25276699675,640.83645.51-5,A-,Suenia Chiles Paixão,Heládio Kassab Fausto,4514 1676 8814 7337,25/02/2030,560,68928-120,Travessa N,Paraíso,Santana,AP,monica.fausto@geradornv.com.br,Ro)D%7)a4v)b,(96) 97688-1471,(96) 2588-4848
Mônica Paixão Fausto,28/07/1997,608.198.192-47,14.562.422-5,241 7197 5981 0003,6716 3716 2593,62125446111,A,OR462732,70262125480,546.86575.15-5,AB+,Zenaide Marins França,Renato Trindade Sampaio,5482 5382 5536 2688,27/02/2033,918,57245-211,Quadra J,Fátima,São Miguel dos Campos,AL,gleyce.sampaio@geradornv.com.br,In*Olaydn%Q(,(82) 99309-3362,(82) 2542-1111
Gleyce França Sampaio,19/05/2001,667.447.974-84,33.324.122-8,791 7777 1905 0004,7771 3466 1775,27542520818,C,VD293482,91788485621,534.53333.43-6,O+,Estefani Muniz Silveira,Robson Barher Pedroso,5558 4185 1620 4459,28/06/2025,307,55196-157,Rua Venceslau Ferreira de Lima,Bela Vista,Santa Cruz do Capibaribe,PE,silvio.pedroso@geradornv.com.br,pM=bl#+ZDXf+,(81) 97203-3663,(81) 2555-9513
Silvio Silveira Pedroso,02/05/2018,113.740.384-58,34.365.724-7,277 6557 6209 0006,7363 3592 0876,33790164524,ACC,BK879376,36921431350,534.53333.43-6,O+,Catia Paixão Albuquerque,Ignácio Laporte Venancio,4514 1695 2187 5520,05/08/2028,653,69041-480,Avenida Paraná Navilhana,Tarumã,Manaus,AM,marcio.venancio@geradornv.com.br,2oXTR%@MXOsZ,(92) 97157-3660,(92) 3309-2268
Márcio Albuquerque Venancio,05/07/2019,257.837.862-25,25.856.815-X,210 8329 1945 0002,7532 4448 2291,14933131106,ACC,MB398828,25143135371,764.36366.32-0,B+,Marineuza Dores Portela,Gilson Manhães Cormack,6363 6832 9859 4624,25/04/2031,853,30518-230,Praça Imperial,Madre Gertrudes,Belo Horizonte,MG,joice.cormack@geradornv.com.br,ehV*jco2UC6q,(38) 98862-2381,(35) 3883-5225
Joice Portela Cormack,23/01/1955,924.016.596-76,22.674.345-7,125 9073 5536 0004,5308 2635 0264,46256575663,E,PO688584,86371888376,337.58159.08-7,B-,Manuella Faria Carminatti,George Nazare Palmas,4684 3157 1354 7781,18/09/2033,522,65608-550,Rua Piauí,Caldeirões,Caxias,MA,marcia.palmas@geradornv.com.br,u#5v_&gEeduE,(98) 97918-8576,(99) 2555-3725
Márcia Carminatti Palmas,13/10/1960,842.281.413-74,17.556.416-4,131 4641 3436 0008,6874 6225 1180,12862845710,ACC,BE822733,44204879061,385.44916.24-4,A+,Manuella Faria Carminatti,Bryan Amancio Mello,5041 7553 3476 0989,24/10/2032,653,49500-412,Travessa Claudionor Araújo Carvalho,São Cristóvão,Itabaiana,SE,felipe.mello@geradornv.com.br,=yhgo5#53R=b,(79) 99621-2241,(79) 3850-1385
Felipe Sousa Mello,28/02/1936,784.468.885-80,27.866.385-0,168 7973 4545 0006,1376 9371 2100,67756982302,A,OY656990,43474204182,974.52015.85-8,O-,Aparecida Schuenck Giacomini,Lucas Felipe Richa Arlia,5327 1771 7033 2507,02/01/2025,279,73401-442,Módulo Módulo 15,Estância Mestre D'Armas IV (Planaltina),Brasília,DF,tiago.arlia@geradornv.com.br,j&+M0Voqfq%Y,(61) 98017-8172,(61) 2157-8665
Tiago Giacomini Arlia,20/10/1980,325.666.031-20,44.114.946-7,724 2092 4526 0003,4405 5819 2003,75711423607,B,MT349582,80794545520,324.38004.21-1,B-,Rubia Nogueira Quindeler,Yan Amaral Filho,6223 2129 6254 3442,05/09/2029,161,68909-870,Rua Quarta,Marabaixo,Macapá,AP,antonieta.filho@geradornv.com.br,Y+fWjuHx&sdH,(96) 99598-2187,(96) 3214-3214
Antonieta Quindeler Filho,20/04/1962,446.483.842-10,30.947.887-X,985 0363 5298 0003,9624 4257 2577,88690819980,A,AX355101,52069775780,455.58072.99-2,AB+,Maiara Vasgestian Meyer,Heitor Filho Bueno,4389 3535 5316 2757,31/05/2032,338,68905-271,Rua Acesio Guedes,Cidade Nova,Macapá,AP,helena.bueno@geradornv.com.br,scS#jGX4bNJ#,(96) 98675-9265,(96) 2911-7019
Helena Meyer Bueno,23/09/1999,747.823.542-58,27.556.389-3,149 1179 1351 0003,4208 3129 2500,44193584204,ACC,I364445,59378115251,771.09506.41-1,A+,Georgiane Estellet dos Santos,Anthony Macedo Werling,4389 3517 8794 8082,20/10/2031,285,77433-070,Rua Perimetral Oeste,Vila Pedroso,Gurupi,TO,lucimberto.werling@geradornv.com.br,EwBh9eJ2zBrY,(63) 99864-5874,(63) 3787-8259
Lucimberto dos Santos Werling,07/01/2022,484.876.441-63,42.484.032-7,190 1079 2871 0006,7621 1685 2747,47375621036,E,JN394525,75712770870,492.68562.56-6,AB+,Helen Pontes Tolentino,Márcio Azevedo França,3543 2775 2988 7491,25/09/2026,395,69097-457,Rua Frankfurt,Nova Cidade,Manaus,AM,marly.franca@geradornv.com.br,ZmFfM5*xt1C9,(97) 97155-6812,(92) 2821-5215
Marly Tolentino França,19/06/2003,037.885.722-30,47.831.174-6,832 3435 9213 0001,1156 6264 2224,51452100483,C,CO845651,62690893230,814.16383.35-8,AB-,Helen Pontes Tolentino,Enrico Livramento Tolentino,4389 3510 0462 1322,02/05/2028,741,23934-530,Rua Ari Caetano,Aeroporto (Cunhambebe),Angra dos Reis,RJ,algemira.tolentino@geradornv.com.br,_P5pbkaURk3l,(24) 98050-7846,(22) 2690-5731
Algemira Wulff Tolentino,11/02/1981,313.683.197-77,35.652.388-3,184 9350 6638 0018,4352 3581 0388,43948366318,E,AG464142,85872713457,266.99152.14-7,O-,Joemia Gomes Calixto,Yvan Muchão Pires,4637 6215 4383 0158,18/10/2031,676,64097-026,Rua Manoel Machado da Silva,Santana,Teresina,PI,luciana.pires@geradornv.com.br,73UPzIcPok9,(89) 98887-0541,(86) 2810-3623
Luciana Calixto Pires,12/05/1992,395.104.473-07,45.357.895-0,950 1840 1347 0007,4845 4232 1503,43881375808,A,DB547439,17231616990,141.54995.20-7,O-,Juliana Linhares Antunes,Yan Constantino Regufe,3553 4150 4809 7476,21/09/2024,233,75806-623,Rua 30,Colméia Park,Jataí,GO,jose.regufe@geradornv.com.br,srlGqA)c*_Z#,(64) 96794-3687,(64) 2217-4510
José Antunes Regufe,28/04/1989,763.663.841-00,48.362.258-8,174 4675 2445 0008,8318 8462 1023,34847487858,C,TA764167,19913152723,456.23224.15-1,B-,Milena Portugal Maia,Wallace Debossam Cormack,5136 5677 3841 3073,30/08/2032,485,69915-642,Alameda Santa Rosa,Portal da Amazônia,Rio Branco,AC,glauco.cormack@geradornv.com.br,Px0yJN=aB5*G,(68) 98758-1534,(68) 2340-7240
Glauco Maia Cormack,26/10/2005,049.229.662-69,22.826.751-1,155 7740 5787 0005,8782 7123 2461,66671402803,A,OY450478,61264172509,318.84706.44-3,AB+,Dilma Bocafoli Paulo,Rafael Jesus Muchão,4514 1693 2020 6976,10/02/2032,250,58533-000,ﾠ,ﾠ,Pindurão,PB,hevelyn.muchao@geradornv.com.br,X0rzl10pyk6Z,(83) 99757-8615,(83) 3154-8261
Hevelyn Paulo Muchão,23/12/1995,267.177.514-87,12.424.543-2,196 2262 9116 0004,2206 7248 1228,23403077981,B,DQ371356,35677395186,318.84706.44-3,AB+,Erika Paiva Anjos,Dilmar Diovani Texeira,5453 9932 8881 7510,08/02/2028,679,64029-070,Rua Verlânia Nogueira,Santo Antônio,Teresina,PI,araci.texeira@geradornv.com.br,i9!6+L)pA2lj,(89) 96722-5058,(89) 2349-4445
Araci Anjos Texeira,31/01/1941,177.016.253-48,32.028.474-8,188 2098 3363 0004,9542 7416 1546,89431379604,B,XZ156546,24359257680,912.74217.68-0,O+,Erika Paiva Anjos,Weberson Trindade de Oliveira,6225 7406 8407 7180,28/11/2026,009,81150-310,Rua Valentin Nichele,Pinheirinho,Curitiba,PR,dinea.oliveira@geradornv.com.br,Onx3d_Wvz5)Z,(41) 99710-7534,(41) 3157-3146
Dinea Fontes de Oliveira,29/08/2004,183.763.789-02,21.823.025-4,225 0560 1465 0006,7886 3124 0612,19803206300,ACC,II245054,45993069452,886.26331.82-3,A+,Camila Carvalheiro Fontes,Glauber Consendey Uchôa,4389 3586 7152 3285,11/02/2031,087,54705-780,Rua Umbuzeiro,Capibaribe,São Lourenço da Mata,PE,lucas.uchoa@geradornv.com.br,xf!nJ!WRej7!,(81) 99283-1747,(81) 2922-6027
Lucas Felipe Maia Uchôa,20/08/1977,838.570.234-22,29.559.165-1,887 1957 5333 0008,2513 1211 0892,47493541918,ACC,OL385031,65341626214,828.69128.53-6,O-,Gilmara Carmoriz Maia,César Barellos Fonseca,5217 4168 9730 5492,28/07/2033,833,72305-106,Quadra QR 303 Conjunto 6,Samambaia Sul (Samambaia),Brasília,DF,simeia.fonseca@geradornv.com.br,1K0*VyKBe&ZY,(61) 98736-5986,(61) 3397-1023
Simeia Pinto Fonseca,30/06/1998,691.419.311-81,41.657.788-X,926 9144 9914 0008,6147 7669 2046,99420782293,D,A368532,82272353625,100.06564.31-0,B+,Gilmara Jales Nogueira,Ataíde Muchão Dores,6224 6864 5554 2368,25/10/2031,965,89260-790,Rua das Orquideas,Jaraguá 99,Jaraguá do Sul,SC,lourimar.dores@geradornv.com.br,Dvch!cah9KMG,(48) 98925-2347,(48) 2612-1555
Lourimar Nogueira Dores,15/05/1983,571.159.759-06,11.383.615-6,732 4410 4022 0001,7399 2416 0981,26124270351,D,XC144850,65591569773,261.45782.67-4,B+,Gilmara Jales Nogueira,Osvaldo Dantas Theodoro,5521 8589 4833 4487,19/07/2032,188,66813-293,Passagem São Pedro,Campina de Icoaraci (Icoaraci),Belém,PA,lucas.theodoro@geradornv.com.br,_EtAE1JK7Miz,(94) 98622-1069,(93) 2860-3633
Lucas dos Santos Theodoro,09/12/1977,731.673.572-40,10.481.341-6,186 7835 3519 0018,7215 4367 1376,96147887890,C,YQ917092,53552362272,553.18676.95-5,A+,Roselaine Latin Heizelmann,Sergino Marcello Bandeira,6011 0264 5067 0459,25/11/2029,845,60353-165,Avenida Independência,Quintino Cunha,Fortaleza,CE,carla.bandeira@geradornv.com.br,f*jE$Nn884E=,(88) 97513-3653,(88) 3846-9212
Carla Heizelmann Bandeira,24/02/1939,542.857.763-08,40.039.755-9,248 0390 9743 0000,3095 4768 0779,83918352277,E,IE611588,31905723716,810.72822.86-0,A+,Roselaine Latin Heizelmann,Humberto Dinis Esteves,5538 9072 2274 5024,31/08/2028,342,49066-332,Rua Cinco,Industrial,Aracaju,SE,herisomar.esteves@geradornv.com.br,uVVVsY*Zl05q,(79) 98307-1167,(79) 3850-2910
Herisomar Braz Esteves,23/02/1991,079.077.575-17,37.465.444-X,221 6444 9992 0000,6571 3006 2100,13385181581,D,NO512136,42417480780,663.05431.03-2,AB+,Marlene Castilho Braz,Vicente Garcia Valladares,6363 6859 7899 7530,26/11/2031,367,72852-637,Quadra Quadra 37,Jardim Umuarama Setor 1,Luziânia,GO,michel.valladares@geradornv.com.br,PLCarfs(RXK&,(64) 99560-7928,(64) 2104-1812
Michel Mateus Valladares,12/05/1950,292.306.741-09,13.444.155-2,240 7266 7969 0000,2198 7796 1031,04201168901,D,JL246064,42968163713,182.30337.65-4,A-,Valeska Cardoso Vilar,Geraldo Carmoriz Macedo,6571 4142 8987 3431,01/10/2033,846,59142-210,Rua Cuiabá,Santa Tereza,Parnamirim,RN,luiza.macedo@geradornv.com.br,rqXZ+e4!)O%2,(84) 96946-2424,(84) 3221-0356
Luiza Vilar Macedo,08/01/1950,698.864.744-91,37.247.238-2,955 5313 4954 0005,9161 8300 1694,32892639607,C,XL314531,71046723080,690.66207.31-0,AB-,Maria Luiza Auzier Pereira,João Gabriel Amorim de Oliveira,6221 3455 4887 5268,09/04/2026,650,69905-064,Travessa Benjamim Constant,Cerâmica,Rio Branco,AC,mikaela.oliveira@geradornv.com.br,TpnmtyGL%!zi,(68) 98133-9813,(68) 3725-0641
Mikaela Pereira de Oliveira,20/05/1942,638.548.652-44,10.102.266-9,274 0290 1170 0003,5399 2513 2461,75064999104,C,T260612,08856371713,382.73275.58-2,O-,Michele Cavalcanti Bochimpani,Armando da Mota Lucio,5464 2916 6667 3663,05/06/2030,207,66093-341,Passagem Fátima,Marco,Belém,PA,silvio.lucio@geradornv.com.br,Vz5rydtKt0js,(91) 98356-5451,(91) 2963-1811
Silvio Bochimpani Lucio,29/07/1944,622.022.602-00,30.471.608-X,194 0312 1963 0009,3426 6432 1384,66260884951,D,AK818523,74167185776,082.19614.47-0,A+,Michele Cavalcanti Bochimpani,Icaro Inácio Bernardes,4702 3746 3423 9620,29/01/2026,077,69915-750,Rua Evência Maria Ribeiro,Portal da Amazônia,Rio Branco,AC,ruan.bernardes@geradornv.com.br,M8t3pqyy9OHP,(68) 99863-2258,(68) 2241-1784
Ruan Mendes Bernardes,02/05/1977,316.612.542-68,31.766.567-4,266 0284 7702 0006,6784 6731 2453,47387713357,E,XV227047,78502877770,149.22882.52-5,B-,Soraya Mayerhofer Mendes,Icaro Inácio Bernardes,4389 3519 2927 3191,08/10/2031,236,64022-350,Rua Quinze de Novembro,Lourival Parente,Teresina,PI,juliete.gabrig@geradornv.com.br,=eqaaU+FM1xf,(89) 98191-8206,(86) 3641-7642
Juliete Esteves Gabrig,10/01/2022,848.424.643-48,35.238.185-1,292 4231 7981 0018,5718 2337 1589,35384562224,E,QN943967,11888540464,434.61947.88-2,B-,Estephany Lessa Esteves,Elino Carvel Navega,6228 6962 0385 8632,30/11/2029,454,58059-378,Rua Anna Soares de Lima,Mangabeira,João Pessoa,PB,everaldo.navega@geradornv.com.br,T&tEJr9C2%IG,(83) 96924-1483,(83) 3188-6891
Everaldo Falcão Navega,02/03/2004,508.157.774-00,16.484.741-8,934 6843 0977 0009,5748 3623 1236,76531273721,B,XO530815,62146851439,540.88366.25-0,O-,Liliane Bento Falcão,Elino Carvel Navega,5133 8444 7484 8546,09/04/2030,276,61956-000,ﾠ,ﾠ,Penedo,CE,bento.barrada@geradornv.com.br,hHm*vwU_R58,(85) 99511-9869,(85) 2712-6232
Bento Sales Barrada,26/12/2014,668.273.183-38,46.344.673-2,150 0431 3901 0004,6215 2157 0744,74551224662,ACC,RF775688,13142796583,572.76026.20-2,AB+,Deyse Marotti Sales,Enzo Lessa Wulff,5407 2631 8721 4616,15/04/2031,385,97547-550,Rua Afonso de Macedo Casado,Dr. Romário A de Oliveira,Alegrete,RS,jacqueline.wulff@geradornv.com.br,RQOc#O!dtcu*,(55) 98045-6247,(54) 3524-8883
Jacqueline Arlia Wulff,03/08/1992,763.643.890-90,36.506.941-3,814 5162 7613 0008,4318 5587 0400,22967092340,B,WI332254,67587886758,068.85397.69-9,B+,Helenice Pina Arlia,Pablo Knupp Simoes,5132 4718 5876 1359,14/03/2033,922,41505-450,Rua Nazaré,Cassange,Salvador,BA,roselaine.simoes@geradornv.com.br,RZ2ZBejH9FBU,(71) 97240-9251,(71) 2907-7777
Roselaine Amancio Simoes,06/07/1986,772.208.435-42,31.281.888-9,176 8047 0149 0007,9533 3536 0540,17316053666,A,HO914855,36704974135,373.79265.99-0,AB-,Emanuela Trancoso Amancio,Andrey Esteves Leite,5107 3866 6661 4734,25/09/2026,588,65602-150,Travessa da Liberdade,Centro,Caxias,MA,jennifer.leite@geradornv.com.br,QJn$de9xaYQ&,(98) 98639-5167,(98) 2557-4008
Jennifer Nepomuceno Leite,14/04/2011,344.616.483-97,22.827.073-X,165 4157 1966 0000,8167 4473 1147,33190500779,B,GY243416,22148161970,469.52370.95-4,B+,Regiane Cormack Nepomuceno,Andrey Esteves Leite,3564 4773 0899 6018,08/12/2028,052,64079-460,Quadra 27,Novo Horizonte,Teresina,PI,pietro.frossard@geradornv.com.br,OKU%P&OzX1I%,(89) 96949-4415,(89) 2124-6461
Pietro Azevedo Frossard,20/05/1957,609.452.883-28,41.076.238-6,293 6902 0814 0007,8824 4668 1511,12893132249,E,GR826892,71180210318,031.14389.46-7,A+,Adelir Frossard Azevedo,Casemiro Rubi Frossard,3564 4773 0899 6018,13/04/2026,416,65075-020,Rua dos Acapus,Jardim Renascença,São Luís,MA,valdeli.pessoa@geradornv.com.br,KV)TZMR*V5iP,(99) 99270-0224,(98) 2638-2362
Valdeli Salles Pessoa,30/10/1994,462.419.403-92,24.672.017-7,201 2856 8537 0007,3633 4895 1163,15117321183,ACC,SG548220,63881461880,151.28575.00-8,B-,Ezeni de Souza Salles,José Vabo Pessoa,3547 3503 4607 3128,04/07/2031,542,40070-580,Vila Capitão Santinho,Barris,Salvador,BA,maria.zanetti@geradornv.com.br,ZpCrHJ%XyGj*,(73) 96752-8467,(75) 3344-2463
Maria Rosa Rabelo Zanetti,25/03/2012,136.177.285-96,30.238.558-7,280 2227 1106 0003,7702 4288 0507,41827734829,D,YQ356742,34404668016,220.37069.32-3,AB+,Angela Feitosa Rabelo,Gutemberg Manhães Zanetti,3547 3503 4607 3128,04/07/2031,542,40070-580,Vila Capitão Santinho,Barris,Belém,PA,isabel.dantas@geradornv.com.br,ML)cr4@XB_(+,(93) 97378-8406,(93) 3862-6237
Isabel Carino Dantas,05/12/2018,442.546.192-43,10.963.793-8,151 0163 5078 0001,3444 7124 1317,11353796848,D,LF333556,68413562750,618.72146.84-9,AB+,Thainá Meyer Carino,Silvio Holanda Dantas,4431 5278 3673 6259,02/12/2026,875,66045-610,Passagem Aluísio Chaves,Condor,Belém,PA,isabel.dantas@geradornv.com.br,ML)cr4@XB_(+,(93) 97378-8406,(93) 3862-6237
Isabel Carino Dantas,05/12/2018,205.225.827-29,31.766.495-5,980 2489 0015 0018,2863 7738 1414,44916173550,B,WM648008,17133157215,308.50681.41-5,AB+,Cleonice Diniz Alentejo,Messias Koga Caldas,3588 6918 8736 7324,08/04/2033,565,29706-284,Rua Men de Sá,Vila Amélia,Colatina,ES,noe.caldas@geradornv.com.br,R)q5ibe7w1R,(27) 99138-5587,(27) 2248-5617
Noé Alentejo Caldas,06/07/1933,205.225.827-29,31.766.495-5,980 2489 0015 0018,2863 7738 1414,44916173550,B,PF115366,77317621813,322.57261.48-4,B-,Kelly Boelho Giron,Ozorio Holanda Barbosa,5470 2256 0168 1417,09/05/2030,994,85060-040,Rua Tomás Antônio Gonzaga,São Cristóvão,Guarapuava,PR,dandara.barbosa@geradornv.com.br,MosRcG(S7@PI,(45) 99665-3440,(46) 3113-4229
Dandara Giron Barbosa,06/11/1949,693.457.419-25,16.265.965-9,270 5573 0437 0008,8311 6858 0671,68355986466,A,PF115366,28101420340,238.74862.22-0,O+,Viviane Limeira Portela,Agenor Salles Henriquez,5559 7265 9495 9995,18/10/2025,141,18052-445,Rua Laura Maiello Kook,Jardim Novo Mundo,Sorocaba,SP,lidia.henriquez@geradornv.com.br,frKvyBeFgQwj,(12) 99411-2055,(11) 2672-3214
Lidia Portela Henriquez,31/12/1962,644.585.378-14,44.684.148-1,272 0287 0199 0004,5860 8824 0159,38428503218,B,UJ458754,28101420340,238.74862.22-0,O+,Viviane Limeira Portela,Piter Dutra Bilé,5226 5767 6955 9853,03/05/2031,228,58075-421,Rua Antonio Martins,Ernesto Geisel,João Pessoa,PB,helen.bile@geradornv.com.br,8tYVdPJ)8@l(,(83) 98291-5170,(83) 2792-8779
Helen Fontes Bilé,28/04/1947,427.545.144-90,31.415.036-5,125 3848 0983 0003,9033 5762 1236,00192296087,A,YN724390,33436363921,773.37252.38-4,A+,Juraci Guerini Fontes,Benício Paula Wulff,5594 2533 0312 8868,08/02/2026,528,74355-704,Rua Salute Pavan Petrolli,Setor Orientville,Goiânia,GO,eldimar.wulff@geradornv.com.br,m56BJe(YSbd4,(62) 99662-9746,(64) 3026-8742
Eldimar Antonio Wulff,17/12/2008,201.572.521-08,17.347.511-5,214 6035 0744 0005,8918 3788 1040,32454655055,E,TQ768299,17711074555,266.73422.81-3,AB-,Isabella Campos de Padua,César Carvalheiro Dores,5138 3026 1771 1159,01/11/2025,302,64208-400,Quadra M,Piauí,Parnaíba,PI,gabriela.dores@geradornv.com.br,HufWr!o_xPg$,(89) 99935-4225,(86) 3543-6413
Gabriela de Padua Dores,30/06/2006,741.447.833-59,26.023.887-9,884 3592 4973 0003,8233 5160 1520,31490112075,A,DT818573,17473311512,066.16964.96-9,B-,Isabella Campos de Padua,Otavio Antunes Firmino,5041 7585 6898 8516,27/09/2030,034,57080-537,Rua Em Projeto 15,Jardim Petrópolis,Maceió,AL,maria.firmino@geradornv.com.br,@DiGEm$7x73n,(82) 98063-1622,(82) 2180-4138
Maria Luiza Annunziato Firmino,14/04/2022,288.103.584-14,42.259.777-6,796 6509 5886 0002,4283 1612 1732,44589636984,E,NR538712,38704387392,206.17239.61-9,A-,Deyse Barcelos Annunziato,Wellington Amancio Elias,5165 5125 7786 2943,08/03/2026,463,64039-560,Rua Médico Flávio Fontenele,Esplanada,Teresina,PI,larissa.elias@geradornv.com.br,SJ5IE9rV=hnl,(86) 99344-4313,(89) 2181-9552
Larissa Garbelini Elias,24/07/1981,446.735.663-00,11.491.803-X,292 2914 8580 0008,4978 3783 1589,53951349005,A,C689947,18336608864,712.62339.16-0,O-,Valeska Luques Garbelini,Moacir Rangel Bochimpani,5041 7532 3411 9604,16/06/2026,431,58067-190,Rua Universitário Adolfo Augusto Barbosa,Gramame,João Pessoa,PB,francielle.bochimpani@geradornv.com.br,9EBr5bZ%Fdq,(83) 99775-0632,(83) 2241-2685
Francielle Lucas Bochimpani,30/06/1971,525.412.274-93,47.528.465-3,255 4582 4051 0007,1559 1654 1287,75655451359,A,EV532429,06156684461,485.55513.71-2,AB+,Isabela Werling da Paixão,Alan Damasceno Ferreira,3569 2847 5029 3810,28/09/2025,782,45012-363,Rua Z,Primavera,Vitória da Conquista,BA,jessyca.ferreira@geradornv.com.br,0At@2jb1dEHu,(74) 99104-8141,(71) 3744-2518
Jessyca da Paixão Ferreira,29/03/1987,534.852.415-80,26.632.679-1,955 5518 3441 0002,1773 5497 0566,04765452679,D,PD144288,13393273336,244.49413.57-5,AB-,Mariza Amorin Lacerda,Tomás de Carvalho Brum,5182 6295 0761 7616,04/12/2028,925,50080-092,Rua I,Ilha Joana Bezerra,Recife,PE,jayne.brum@geradornv.com.br,zVs+3aDlkSdX,(81) 99598-9419,(87) 3377-5557
